Timestamp,Listing Name,Listing Price,Sold,Seen,Review Score,Review Count,Store Name,Store Area,URL
1591708002,VGA Card Nvidia MSI GeForce RTX 2070 Super Gaming X Trio,10316000,0,413,0,0,Sonic Computer,Makassar,https://ta.tokopedia.com/promo/v1/clicks/8a-xgVY2gmUEo_yOopjNH_JDUMVj9RzNrc1i6sJDUSC5rfB7q3YXUsthbm-7q3OBUstho_jhopnR6_jabm-srcHi6sjO6ZFiy3zwrfo5rM1i6sUdoidNHAyFosHNHpedopHhbm-pHOYDQfri6i-B812kgJxGgBBXZSgjH7NDZ325q1O_oA-vzJOR_320HJN1_9PouV1F_32sH7B2PfBgHO-N3Ao6QVByZM2xe7jfZ32oP1Okqp-68jVE_320HjNEe92oqMDpZ3BRq3JausujHsBN3jyN8Bja69Bq17jfZ32Cq1hAZSuiHsuk3Bo-ojBWu9Bvzcod_s-ZQ1h1Z_u6qBu7_jP-8VBNH3B6uczD_Vz081YI3M2qu7OE_7ztq1N_Z9o-Q_BNyuPjrc-D63Wq3J-MyuPzq1Y2Z9P-q9P2ysoGrVtaQIuyH7-Nys-ZHujp1MgxuOV2_fB-P7B2PfBiH72F3s-DPuKp_MYiH7-MyuPzq1Y2Z9P-q9P2yOx3QcoXQcgjz7gXyRB-ojBWPRxMZIxEgJrh6cgIPRBMZIxp_9B-r7BX_M2iH72D3A-G83UpgI2q17jfZ32-H7NNoI26zcWN_920oJN1__uozJ17Z3BRq3Ha_SgsQugMyp-3qcoW_MY-qMY2_32SHjhkqRP6qjJa_9208jNJgpoo8ju2gBJYvZUDUSupg9-wq3ei6iUFUiFirfuprfB5QBY2gmUEUBBFeMx1z_-gPO-0u3-3Z9zy17FO1jBMu1ugzIgz6InfQjYwoAx7uIovgJ-RzIoB8jNkgaOB13WCq9CV8u2JH92EZR2zPMguH7V7eByauMx0_3uGZuP5_uB7ZI-AoJBwzfgqe_xqq_C2r9-5Z3dF1uYk_72b_AB061P-uMuOHBPEUiFiy3hSUstirRzW9fFp9fFa9fFhUiFiQSuWyMua9fYM9fVjraUEHiFiQSuWyMua9fVjrOYag9Ji6sUFbm-sy9zwq3zpUs2QHsjRbAUN6ZFp6_1h9ZFiQBYsy3Njq3zxPcuwy3zpUstabm-xyBY7g9o7Usti_iUDUSC5rRzwy3hSUstigcuMUiFiPMuarfB5QiUEUSyaUiFiyfhOrRzBrBY2gVYfHiUEH_yR6AUDUMoxPcuSQR-N9RoOgfPBrRzwy9z7rMBiP9zBUs2QUsHNo_Ji997?src=search&ob=23&page=1&dv=desktop&is_search=1&management_type=1&keywords=2070+super&t=desktop&r=https%3A%2F%2Fwww.tokopedia.com%2Fsonicompmks%2Fvga-card-nvidia-msi-geforce-rtx-2070-super-gaming-x-trio%3Fsrc%3Dtopads
1591708004,VGA COLORFUL GeForce® RTX 2070 SUPER Advanced OC-V STOK TERBATAS,8500000,0,75,0,0,kevmor komp,Jakarta Pusat,https://ta.tokopedia.com/promo/v1/clicks/8a-xgVY2gmUEo_nNH_rFH_eDUMVj9RzNrc1i6sJDUSC5rfB7q3YXUstabm-7q3OBUstho_jhopnR6_jabm-srcHi6sHOHmFiy3zwrfo5rM1i6sUfHmdRHsJaHprNHAyO6_ydoZFirpowQcYSUstig9BGqMzUZMggQj2fgAo6QJBkQfBoe7BpZ3O6HcoD692qu7gN3_-Sq1Y2Z9P-q9P2y_-3o3ea69BqzsBE3_UN8u2_Z_g-qjV2_JoGP3Uao32q17jfZ3Ou81YJyRx6HB-W_Vz-o1Nku9z6z7Bd39jhq1N1gchHucWN_7PqqB29_92vzcx2_Bo-r7BW69BxufzFyMFNqO2yeMgxuOV2_fB-P7B2PfBiH72F3s-DPuKpeSBiHBUh3_oZgMV913Bvq1BRZ3BRq3UpZSCqHMhO3Ao6QfUpeMgxuOV2_fB-P7B2PfBs3VgDyfNDgMzIzMNs81jfZ3OR8cgU8I2jzpJdgjPR83gU8Ioo81BpZ3N6qMUpZMhyHj2Nysoj8B2_Z_g-qjjh_9j7HjYJe9xoqMPR_1zzP7YJqRBo81BpZ3N6qMUpZMhyH7ND3uxGqMVAZ_g-qjja_1H7H7Okz9Bo8MHO_1zgH1Y13_z617tNUiFiP9oBrBY2gmUEUsnibm-pg9opq3YX9fBjUsti39CmqVzVHBBR1MWuyBg-PVx__AuZZ3guzuBJPBJdrAgX_O476Iz1r7YjeSPJrfuE_M2Sb3uzq7V2rJuN3jeh8S2b8BVfgB1pe9zmus-3qcWog12-ufYo39zUrjH7ZuYIgB2C6V22HcBhrMY-QsCz9f2vZjWH63DNz7B3g91auRtibm-xQcri6i-pPcOwQAowQA-wQAJibm-XP3Oig9-wQfgwy3zpUstabm-XP3Oig9-wy3zp9R-BrZUEHsnDUMoxPVY2gIHi6BDa6_rDHsjNbAHNo_VPbm-X9foxQMz2gcV7guYxgIHi6sUDUMVi9RzBrRei6i-6UiFircYpPVYxQcri6i-jg3yibm-fg9-pq3YXUstiPsUibm-sQIupPcua9fBj9RyaUsthosrdHiFiyfV7g3P5rSBwrRuSgfupPVYxPIzaq3-OPc1i6BDiHpjOHZ-Pwe?dv=desktop&r=https%3A%2F%2Fwww.tokopedia.com%2Fkevmorkomp%2Fvga-colorful-geforce-rtx-2070-super-advanced-oc-v-stok-terbatas%3Fsrc%3Dtopads&src=search&page=1&ob=23&t=desktop&is_search=1&keywords=2070+super&management_type=2
1591708006,GALAX Geforce RTX 2070 SUPER EX 8GB DDR6 (1-Click OC) - RGB Effect,8100000,78,19051,48,36,Enter Komputer Official,Jakarta Pusat,https://www.tokopedia.com/enterkomputer/galax-geforce-rtx-2070-super-ex-8gb-ddr6-1-click-oc-rgb-effect?trkid=f%3DCa3847L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Dsearch_page%3D1_ob%3D1000_q%3D2070+Super_bmexp%3D0_po%3D1_catid%3D3951_bmexp%3D0&whid=0
1591708008,VGA ZOTAC - GAMING GEFORCE RTX 2070 SUPER AIR /RTX2070 Super 8GB GDDR6,8200000,23,8992,50,9,Nano Komputer,Jakarta Pusat,https://www.tokopedia.com/nanokomputer/vga-zotac-gaming-geforce-rtx-2070-super-air-rtx2070-super-8gb-gddr6?trkid=f%3DCa3847L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Dsearch_page%3D1_ob%3D1000_q%3D2070+Super_bmexp%3D0_po%3D2_catid%3D3951_bmexp%3D0&whid=0
1591708010,VGA Gigabyte GeForce RTX 2070 SUPER 8GB DDR6 Aorus - GV-N207SAORUS-8GC,10770000,10,7509,48,7,Enter Komputer Official,Jakarta Pusat,https://www.tokopedia.com/enterkomputer/vga-gigabyte-geforce-rtx-2070-super-8gb-ddr6-aorus-gv-n207saorus-8gc?trkid=f%3DCa3847L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Dsearch_page%3D1_ob%3D1000_q%3D2070+Super_bmexp%3D0_po%3D3_catid%3D3951_bmexp%3D0&whid=0
1591708012,Gigabyte GeForce RTX 2070 SUPER 8GB DDR6 Aorus,10775000,4,4221,50,3,COC Komputer,Jakarta Pusat,https://www.tokopedia.com/cockomputer/gigabyte-geforce-rtx-2070-super-8gb-ddr6-aorus?trkid=f%3DCa3847L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Dsearch_page%3D1_ob%3D1000_q%3D2070+Super_bmexp%3D0_po%3D4_catid%3D3951_bmexp%3D0&whid=0
1591708014,VGA ASUS - ROG-STRIX-RTX2070S-O8G-GAMING /ROG STRIX RTX 2070 SUPER 8GB,10940000,20,5817,50,14,Nano Komputer,Jakarta Pusat,https://www.tokopedia.com/nanokomputer/vga-asus-rog-strix-rtx2070s-o8g-gaming-rog-strix-rtx-2070-super-8gb?trkid=f%3DCa3847L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Dsearch_page%3D1_ob%3D1000_q%3D2070+Super_bmexp%3D0_po%3D5_catid%3D3951_bmexp%3D0&whid=0
1591708017,MSI GeForce RTX 2070 SUPER 8GB DDR6 - Gaming X Trio,10913000,9,4764,50,6,COC Komputer,Jakarta Pusat,https://www.tokopedia.com/cockomputer/msi-geforce-rtx-2070-super-8gb-ddr6-gaming-x-trio?trkid=f%3DCa3847L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Dsearch_page%3D1_ob%3D1000_q%3D2070+Super_bmexp%3D0_po%3D6_catid%3D3951_bmexp%3D0&whid=0
1591708020,ASUS ROG Strix GeForce RTX 2070 SUPER OC edition 8GB GDDR6,10990000,22,5689,50,14,J&J online,Jakarta Pusat,https://www.tokopedia.com/jnj77/asus-rog-strix-geforce-rtx-2070-super-oc-edition-8gb-gddr6?trkid=f%3DCa3847L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Dsearch_page%3D1_ob%3D1000_q%3D2070+Super_bmexp%3D0_po%3D7_catid%3D3951_bmexp%3D0&whid=0
1591708023,Gigabyte GeForce RTX 2070 SUPER 8GB DDR6 Gaming OC 3X,9933000,5,2386,50,2,COC Komputer,Jakarta Pusat,https://www.tokopedia.com/cockomputer/gigabyte-geforce-rtx-2070-super-8gb-ddr6-gaming-oc-3x?trkid=f%3DCa3847L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Dsearch_page%3D1_ob%3D1000_q%3D2070+Super_bmexp%3D0_po%3D8_catid%3D3951_bmexp%3D0&whid=0
